n,n_senses,chance,purity_k1,excess_k1,purity_k5,excess_k5,purity_k10,excess_k10,purity_k20,excess_k20,purity_k50,excess_k50,step,layer,word,pos,within,between,gap
600,3,0.332220367278798,0.59,0.38602499999999995,0.5166666666666667,0.2762083333333334,0.48283333333333334,0.22554291666666668,0.45891666666666664,0.1897277083333333,0.4146,0.12336350000000003,0,1,information,n,0.017255200073122978,0.0027585518546402454,0.01449664868414402
800,4,0.2490613266583229,0.35125,0.13608125000000001,0.3455,0.12842416666666664,0.3355,0.11510750000000004,0.3175,0.09113750000000002,0.3047,0.07409216666666671,0,1,just,r,0.022675953805446625,0.010519538074731827,0.012156415730714798
1000,5,0.1991991991991992,0.439,0.29945125,0.404,0.25574500000000006,0.3913,0.239885875,0.3744,0.21878200000000003,0.35568,0.1954054,0,1,know,v,0.21136760711669922,-0.048683080822229385,0.2600506842136383
600,3,0.332220367278798,0.5266666666666666,0.29118333333333324,0.48633333333333334,0.23078416666666668,0.468,0.20333000000000004,0.4429166666666667,0.16576770833333335,0.4081,0.11362975000000002,0,1,left,a,0.019279494881629944,0.007943402975797653,0.01133609190583229
400,2,0.49874686716791977,0.725,0.451375,0.6455,0.2927725,0.6245,0.2508775000000002,0.599,0.20000500000000002,0.5626,0.12738700000000003,0,1,left,n,0.004156907554715872,-0.005476183723658323,0.009633091278374195
400,2,0.49874686716791977,0.7025,0.4064875000000001,0.6495,0.3007525,0.63,0.2618500000000001,0.602,0.20599000000000003,0.5724,0.1469380000000001,0,1,like,a,0.0058985077776014805,-0.008030697703361511,0.013929205015301704
400,2,0.49874686716791977,0.755,0.511225,0.728,0.45736000000000004,0.72475,0.4508762500000001,0.7175,0.43641250000000015,0.6973,0.3961135000000001,0,1,like,n,0.18928663432598114,-0.16537931561470032,0.35466593503952026
800,4,0.2490613266583229,0.4525,0.27091250000000006,0.44925,0.26658458333333335,0.431625,0.24311395833333332,0.424125,0.23312645833333331,0.398975,0.1996350416666667,0,1,like,v,0.10100681334733963,0.003295319154858589,0.09771149605512619
1200,6,0.16597164303586323,0.275,0.130725,0.2535,0.10494649999999998,0.24016666666666667,0.08895983333333332,0.22825,0.07467175,0.21395,0.05752604999999999,0,1,make,v,0.05819068104028702,-0.007746721152216196,0.06593739986419678
1000,5,0.1991991991991992,0.367,0.20954125,0.3282,0.16108975,0.2943,0.118757125,0.2715,0.09028562500000002,0.24488,0.05704389999999998,0,1,model,n,0.02603931352496147,0.0075387912802398205,0.018500521779060364
400,2,0.49874686716791977,0.635,0.2718250000000001,0.5605,0.12319750000000006,0.558,0.11821000000000016,0.539,0.08030500000000013,0.53015,0.06264925000000007,0,1,more,a,0.012483244761824608,0.007947812788188457,0.00453543197363615
400,2,0.49874686716791977,0.56,0.12220000000000017,0.572,0.14613999999999996,0.55725,0.1167137500000001,0.54775,0.09776124999999998,0.53125,0.06484375000000006,0,1,more,r,0.009539495222270489,0.003213678253814578,0.006325816735625267
400,2,0.49874686716791977,0.6025,0.20698750000000013,0.5905,0.1830475000000001,0.5765,0.1551175000000001,0.5515,0.10524250000000004,0.53385,0.07003075000000016,0,1,most,a,0.030817441642284393,0.02139415219426155,0.009423289448022842
400,2,0.49874686716791977,0.6625,0.3266875,0.644,0.2897800000000001,0.6245,0.2508775000000002,0.584,0.17007999999999998,0.55515,0.11252425000000013,0,1,most,r,0.011623614467680454,-0.0020888422150164843,0.013712456449866295
600,3,0.332220367278798,0.6883333333333334,0.5332791666666666,0.6483333333333333,0.47337916666666663,0.6376666666666667,0.4574058333333334,0.61475,0.42308812500000004,0.5795,0.37030125,0,1,much,r,0.05157856270670891,-0.02376960590481758,0.07534816861152649
600,3,0.332220367278798,0.655,0.48336250000000003,0.628,0.44293,0.606,0.409985,0.5791666666666667,0.3698020833333334,0.5409666666666667,0.3125975833333334,0,1,name,n,0.16762356460094452,-0.053368326276540756,0.22099189460277557
400,2,0.49874686716791977,0.8525,0.7057375000000001,0.824,0.64888,0.82025,0.6413987500000001,0.82125,0.6433937500000002,0.81235,0.6256382500000002,0,1,need,n,0.3141714036464691,-0.30573636293411255,0.6199077367782593
400,2,0.49874686716791977,0.665,0.33167500000000016,0.6185,0.23890750000000016,0.5945,0.19102750000000013,0.561625,0.12544187500000015,0.5283,0.058958500000000046,0,1,need,v,0.02992095798254013,0.02036881260573864,0.00955214537680149
400,2,0.49874686716791977,0.5975,0.19701250000000012,0.6035,0.20898250000000013,0.5925,0.1870375000000001,0.572125,0.14638937500000004,0.546,0.09427000000000015,0,1,new,a,0.014358483254909515,0.004793865140527487,0.009564617648720741
600,3,0.332220367278798,0.635,0.4534125,0.5993333333333334,0.40000166666666676,0.5868333333333333,0.38128291666666664,0.5623333333333334,0.3445941666666667,0.55,0.32612500000000005,0,1,now,r,0.22375157475471497,-0.0962560698390007,0.32000765204429626
799,4,0.2490613266583229,0.5757196495619524,0.43499999999999994,0.5076345431789737,0.3443333333333333,0.4655819774718398,0.2883333333333334,0.43028785982478096,0.24133333333333332,0.37289111389236546,0.16490000000000002,0,1,number,n,0.061252839863300323,0.01879006251692772,0.042462777346372604
400,2,0.49874686716791977,0.765,0.5311750000000001,0.7155,0.43242250000000015,0.68575,0.37307125,0.669125,0.33990437500000004,0.6611,0.32389450000000014,0,1,number,v,0.10825999826192856,-0.07392626255750656,0.18218626081943512
