sense,n_sense,n_lemma,chance,purity_k5,excess_k5,purity_k10,excess_k10,purity_k20,excess_k20,purity_k50,excess_k50,step,layer,word,pos,n,n_conf,share,log_share
end.n.01,200,1399,0.14234620886981403,0.291,0.17332610508757293,0.269,0.14767472894078398,0.2765,0.15641951626355297,0.2749,0.15455396163469554,0,1,end,n,27856,18741,0.3335448721786505,-0.4768457316764697
end.n.02,200,1399,0.14234620886981403,0.416,0.31907256046705584,0.411,0.3132427022518765,0.38675,0.28496788990825683,0.3186,0.20550692243536278,0,1,end,n,10960,4598,0.1312339100760342,-0.8819539313013756
end.n.06,200,1399,0.14234620886981403,0.446,0.35405170975813177,0.3985,0.29866805671392826,0.335,0.22462885738115096,0.2396,0.1133951626355296,0,1,end,n,7116,557,0.0852062503741842,-1.0695285460378385
end.n.08,200,1399,0.14234620886981403,0.493,0.40885237698081733,0.444,0.35171976647206005,0.41025,0.31236822351959964,0.3558,0.2488810675562969,0,1,end,n,738,655,0.0088367359157037,-2.0537081236266874
end.n.10,200,1399,0.14234620886981403,0.368,0.2631059216013344,0.335,0.22462885738115096,0.2935,0.1762410341951626,0.2476,0.12272293577981648,0,1,end,n,1553,712,0.0185954618930731,-1.7305930297211671
goal.n.01,200,1399,0.14234620886981403,0.647,0.5884120100083403,0.607,0.5417731442869057,0.5765,0.5062110091743119,0.5314,0.45362568807339443,0,1,end,n,4176,2923,0.0500029934742261,-1.3010039954555206
end.n.05,199,1399,0.14163090128755365,0.7236180904522613,0.6780150753768844,0.714070351758794,0.666891959798995,0.6685929648241206,0.6139108040201005,0.6132663316582915,0.5494552763819096,0,1,end,n,21672,6658,0.2594982937196911,-0.5858654934246139
end.v.01,200,400,0.49874686716791977,0.674,0.34963000000000016,0.6745,0.35062750000000004,0.65675,0.31521625,0.5907,0.18344650000000007,0,1,end,v,37335,31686,0.7773914129846333,-0.10936026086707096
end.v.02,200,400,0.49874686716791977,0.644,0.2897800000000001,0.6295,0.2608525,0.615,0.23192500000000005,0.5935,0.18903250000000013,0,1,end,v,9076,4730,0.1889809686419856,-0.723581929318447
example.n.01,200,400,0.49874686716791977,0.821,0.642895,0.7935,0.5880325000000001,0.763,0.5271850000000001,0.715,0.431425,0,1,example,n,92733,82124,0.985012321549966,-0.006558336865140006
